"","CTRY3M_ID","AB_Island_ID","Weigelt.ID","Island","Archipelago","NOTES","Source","intro_birds_mine","NISP","region","isolation_from_nearest_island.km.","isolation_from_nearest_island_group.km.","intr_birds_BlackburnEtAl","intr_mammalian_predators","forest_replacement","deforestation","island_area.km2.","max_island_elevation.m.","notes","fossil_record_quality_rating","good_island"
"90",NA,193,19139,"Sao Jorge","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"91",NA,194,19038,"Sao Miguel","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"94",7919,1,64875,"Sepenbak (New.Ireland)","Bismarcks",NA,"Steadman 2006","0",239,"m",35,35,NA,NA,2,2,"7174",2150,NA,5,1
"96",NA,91,1819,"South Georgia","Atlantic",NA,"avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"97",9345,28,75843,"South.Island","New.Zealand",NA,"Worthy & Holdaway 2002","31",NA,"nz",50,1500,29,10,1,4,"145836",3764,NA,1,1
"98",NA,92,85150,"St. Helena","Atlantic",NA,"avibase",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"99",NA,73,18243,"Tenerife","Canary Islands",NA,"Illera et al 2012",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"100",NA,195,19146,"Terciera","Azores",NA,"avibase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"101",NA,53,80330,"Tikopia","Solomons",NA,NA,NA,55,"m",NA,NA,NA,NA,NA,NA,"4.6",360,NA,4,1
"102",5776,20,75038,"Tinian","Marianas",NA,"Steadman 2006","3",647,"mr",5,500,4,4,NA,NA,"102",170,NA,3,1
"103",NA,66,10928,"Tobago","Trinidad & Tobago","lots of islands named after tobago around the central tobago island","Ivan/Ricki",NA,NA,"car",NA,NA,NA,NA,NA,NA,"300",NA,NA,NA,1
"105",8860,31,9644,"Tutuila","Samoa",NA,"Steadman 2006","5",50,"wp",60,600,2,3,NA,NA,"142",653,NA,4,1
"106",NA,123,84232,"Umboi","Bismarcks","Rooke","Birds of Northern Melanesia",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"109",9031,9,78561,"Viti.Levu","Fiji",NA,"Steadman 2006","11",NA,"wp",60,800,8,4,3,3.5,"10384",1224,NA,4,1
"111",NA,149,4946,"Antipodes Islands","New Zealand",NA,"avibase ",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"112",NA,150,4643,"Auckland Island","New Zealand",NA,"avibase + wikipedia",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113",NA,203,NA,"Campbell Island","New Zealand",NA,NA,NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"114",NA,202,NA,"Faroe islands","Faroe islands",NA,NA,NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"115",NA,84,18774,"Santa Maria","Azores",NA,"avibase; Rando, J. C., Alcover, J. A., Olson, S. L., & Pieper, H. (2013). A new species of extinct scops owl ( Aves : Strigiformes : Strigidae : Otus ) from São, 3647(May), 343–357.",NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"116",NA,5,8916,"Aiwa","Fiji","Aiwa is one island in Fiji","Steadman 2006",NA,18,"wp",13,800,NA,NA,NA,NA,"1",NA,NA,5,1
"117",9070,8,8981,"Nayau","Fiji",NA,"Steadman 2006",NA,80,"wp",30,800,NA,NA,NA,NA,"18.44",NA,NA,4,1
"118",8727,23,9716,"Tahuata","Marquesas",NA,NA,NA,70,"ep",5,600,1,1,4,3,"53",1000,NA,4,1
"119",8609,24,9772,"Ua.Huka","Marquesas",NA,NA,NA,2187,"ep",40,600,0,0,4,3.5,"78",856,NA,2,1
"120",9147,35,8747,"Foa","Tonga",NA,"Steadman 2006",NA,215,"wp",1,75,NA,NA,NA,NA,"13.3",14,NA,3,1
"121",NA,36,8724,"Haafeva","Tonga","Ha`afeva Island","Steadman 2006",NA,293,"wp",3,35,NA,NA,NA,NA,"1.8",NA,NA,3,1
"122",9139,37,8751,"Haano","Tonga","listed as Ha`ano island","Steadman 2006",NA,146,"wp",2,75,NA,NA,NA,NA,"6.6",8,NA,2,1
"123",9151,38,8747,"Lifuka","Tonga","Lifuka is alt name, Foa Island is the name found in Tonga chain","Steadman 2006",NA,607,"wp",1,50,NA,NA,NA,NA,"11.4",14,NA,2,1
"124",8830,44,80225,"Toga","Vanuatu",NA,"Steadman 2006",NA,21,"m",4,150,NA,NA,NA,NA,NA,NA,NA,NA,1
"125",9159,40,8728,"Uiha","Tonga",NA,"Steadman 2006",NA,187,"wp",8,75,NA,NA,NA,NA,"5.3",NA,NA,4,1
"126",9106,2,8815,"Aitutaki","Cook",NA,NA,NA,43,"ep",100,700,1,4,4,4,"18",124,NA,NA,1
"127",9164,3,8715,"Atiu","Cook",NA,NA,NA,41,"ep",80,400,1,0,4,4,"27",71,NA,4,1
"128",NA,85,20203,"Bermuda",NA,"main island",NA,NA,NA,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"129",NA,138,9883,"Espanola","Galapagos","Isla Espanola","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"130",9227,34,8652,"Eua","Tonga",NA,"Steadman 2006",NA,1319,"wp",18,100,3,0,NA,NA,"86.7",328,NA,2,1
"131",NA,139,9960,"Ferdinandina","Galapagos","Isla Fernandina","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"132",NA,140,9890,"Floreana","Galapagos","Isla Santa Maria","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"133",NA,141,9979,"Genovesa","Galapagos","Isla Genovesa","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"134",8710,21,9718,"Hiva.Oa","Marquesas",NA,NA,NA,146,"ep",100,600,0,1,4,3,"324",1190,NA,5,1
"135",8978,32,9176,"Huahine","Society.Islands","Huahine Iti",NA,NA,110,"ep",30,400,2,1,4,3,"78",669,NA,3,1
"136",NA,142,9975,"Isabela","Galapagos","Isla Isabela","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"137",9078,7,8937,"Lakeba","Fiji","Lakemba island in fiji from website","Steadman 2006",NA,186,"wp",75,800,NA,NA,3,4,"55.94",219,NA,4,1
"138",NA,124,77874,"Lifou","New.Caledonia",NA,"birds of melanesia.net",NA,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"139",8601,22,9773,"Nuku.Hiva","Marquesas",NA,NA,NA,27,"ep",40,600,0,1,4,3,"337",1186,NA,3,1
"141",NA,144,9987,"Pinta","Galapagos","Isla Pinta","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"142",NA,145,9906,"San Cristobal","Galapagos","Isla San Cristobal","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"143",NA,146,9942,"Santa Cruz","Galapagos","Isla Santa Cruz","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"144",NA,147,9970,"Santiago","Galapagos","Isla San Salvador","Avibase",NA,NA,"Pacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"145",9222,39,8669,"Tongatapu","Tonga",NA,"Steadman 2006",NA,437,"wp",800,400,NA,NA,4,2,"259",82,NA,3,1
