"","Island","AB_Island_ID","Weigelt.ID","Archipelago","Species_Name","Common_Name","Sibley2_0ID","AB_Species_ID","introduced","modern_observed","historically_observed","fossil_observed","Source","Fossil_Evidence","Notes","good_island"
"129","Aiwa",5,8916,"Fiji","Porphyrio porphyrio",NA,NA,371,0,0,0,1,"steadman 2006",NA,NA,1
"130","Aiwa",5,8916,"Fiji","Porzana sp. B",NA,NA,383,0,0,0,1,"steadman 2006",NA,NA,1
"131","Aiwa",5,8916,"Fiji","Ptilinopus perousii",NA,NA,409,0,1,1,1,"steadman 2006",NA,NA,1
"132","Aiwa",5,8916,"Fiji","Ptilinopus porphyraceus",NA,NA,410,0,1,1,0,"steadman 2006",NA,NA,1
"133","Aiwa",5,8916,"Fiji","Tyto alba",NA,NA,449,0,1,1,1,"steadman 2006",NA,NA,1
"182","Antigua",58,11466,"Lesser Antilles","Anas bahamensis","white-cheeked pintail",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","locally common, declining",1
"183","Antigua",58,11466,"Lesser Antilles","Ardea alba","great egret",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"184","Antigua",58,11466,"Lesser Antilles","Bubulcus ibis","cattle egret",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common, first immigrants 1950s",1
"185","Antigua",58,11466,"Lesser Antilles","Butorides virescens","green heron",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"186","Antigua",58,11466,"Lesser Antilles","Coccyzus minor","mangrove cuckoo",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"generally common",1
"187","Antigua",58,11466,"Lesser Antilles","Coereba flaveola","bananaquit",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"188","Antigua",58,11466,"Lesser Antilles","Columba livia","rock dove",NA,NA,1,1,NA,NA,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"189","Antigua",58,11466,"Lesser Antilles","Columbina passerina","common ground-dove",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","common",1
"190","Antigua",58,11466,"Lesser Antilles","Dendrocygna arborea","west indian whistling-duck",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"rare, declining",1
"191","Antigua",58,11466,"Lesser Antilles","Dendroica petechia","yellow warbler",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"192","Antigua",58,11466,"Lesser Antilles","Egretta thula","snowy egret",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"193","Antigua",58,11466,"Lesser Antilles","Egretta tricolor","tricolored heron",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"rare",1
"194","Antigua",58,11466,"Lesser Antilles","Elaenia martinica","caribbean elaenia",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"""lesser antillies"" unclear",1
"195","Antigua",58,11466,"Lesser Antilles","Eulampis holosericeus","green-throated carib",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"196","Antigua",58,11466,"Lesser Antilles","Eulampis jugularis","purple-throated carib",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"uncommon",1
"197","Antigua",58,11466,"Lesser Antilles","Euphonia musica","antillean euphonia",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"uncommon",1
"198","Antigua",58,11466,"Lesser Antilles","Gallinula chloropus","common moorhen",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"199","Antigua",58,11466,"Lesser Antilles","Geotrygon montana","ruddy quail-dove",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","uncommon, ground dwelling",1
"200","Antigua",58,11466,"Lesser Antilles","Loxigilla noctis","lesser antillean bullfinch",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","common",1
"201","Antigua",58,11466,"Lesser Antilles","Margarops fuscatus","pearly-eyed thrasher",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","common",1
"202","Antigua",58,11466,"Lesser Antilles","Nyctanassa violacea","yellow-crowned night-heron",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","common",1
"203","Antigua",58,11466,"Lesser Antilles","Orthorhyncus cristatus","antillean crested hummingbird",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Pregill et al, 1994, bulletin Carnegie Museum","common",1
"204","Antigua",58,11466,"Lesser Antilles","Patagioenas leucocephala","white-crowned pigeon",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"Columba leucocephala",1
