AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
166,NA,Eclectus undescr. sp Vanuatu,,Psittaciformes,Psittacidae,Eclectus sp Vanuatu,y,2.654561555,2,0,0,f,f,0,0,7,0,3,0,0,0,0,0,4,4,2,0,0,1,2.72,2.9,EX,1,NA,1,,,same as congener
167,5195,Egretta novaehollandiae,White-faced Heron,Ciconiiformes,Ardeidae,Egretta novaehollandiae,y,2.747132273,0,0,0,c,c,4,5,0,0,0,1,0,0,10,0,0,0,0,0,0,2,2.94,4.74,LC,0,0,0,,,walter's
168,5207,Egretta sacra,"Pacific Reef-egret, Eastern Reef Egret, Pacific Reef Heron, Reef Heron",Ciconiiformes,Ardeidae,Egretta sacra,y,2.700712334,0,0,0,c,c,5,5,0,0,0,0,0,0,8,2,0,0,0,0,0,3,2.91,4.43,LC,0,0,0,,,walter's
169,7652,Eopsaltria flaviventris,Yellow-bellied Robin,Passeriformes,Petroicidae,Eopsaltria flaviventris,y,1.113943352,1,0,0,i,i,0,10,0,0,0,0,0,0,0,1,3,3,3,0,0,1,1.78,2.75,LC,0,0,0,,,walter's
170,12161,Erythrura cyaneovirens,"Red-headed Parrotfinch, Red-headed Parrot-finch",Passeriformes,Estrildidae,Erythrura cyaneovirens,y,1.113943352,0,0,0,g,g,0,2,4,1,3,0,0,0,0,0,0,6,4,0,0,1,1.59,2.16,LC,0,0,0,,,walter's
171,12163,Erythrura kleinschmidti,"Pink-billed Parrotfinch, Pink-billed Parrot-finch",Passeriformes,Estrildidae,Erythrura kleinschmidti,y,1.322219295,2,0,0,g,g,0,8,1,0,0,0,1,0,0,2,0,6,2,0,0,1,2.02,2.71,VU,0,0,0,,,walter's
172,12159,Erythrura psittacea,"Red-throated Parrotfinch, Red-throated Parrot-finch",Passeriformes,Estrildidae,Erythrura psittacea,y,1.06069784,1,0,0,g,g,0,2,4,0,4,0,0,0,0,5,5,0,0,0,0,1,1.55,2.12,LC,0,0,0,,,walter's
173,12156,Erythrura trichroa,"Blue-faced Parrotfinch, Blue-faced Parrot-finch",Passeriformes,Estrildidae,Erythrura trichroa,y,1.158194876,0,0,0,g,g,0,2,1,0,7,0,0,0,0,5,5,0,0,0,0,1,1.62,1.77,LC,0,0,0,,,walter's
174,NA,Erythrura undescr. sp Rota,,Passeriformes,Estrildidae,Erythrura sp Rota,y,1.161368002,1,0,0,g,g,0,3,0,0,7,0,0,0,0,5,5,0,0,0,0,1,1.62,2.2,EX,1,NA,1,,,same as congener
175,1785,Eudynamys scolopacea,Asian Koel,Cuculiformes,Cuculidae,Eudynamys scolopacea,y,2.289873488,0,0,0,i,c,0,1,8,1,0,0,0,0,0,0,0,2,8,0,0,1,2.47,3.06,LC,0,0,0,,,walter's
176,2080,Eunymphicus cornutus,Horned Parakeet,Psittaciformes,Psittacidae,Eunymphicus cornutus,y,2.113943352,1,0,0,f,f,0,0,3,6,0,0,1,0,0,0,5,5,0,0,0,1,2.59,2.71,EN,0,0,0,,,walter's
