Species_Name,Family,Common_name,Taxonomy.notes,Body mass (g),Diet_invert,Diet_vert,Diet_scav,Diet_fruit,Diet_nectar,Diet_seed,Diet_plant,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_watbelowsurface,Height_wataroundsurface,Height_aerial,Nocturnal_cat,guild_ref,mass reference
Tachycineta euchrysea,Hirundinidae,,,12.27,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",
Serinus mozambicus,Fringillidae,,,12.35,2,0,0,1,0,4,3,4,3,2,1,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Myiopagis cotta,Tyrannidae,,,12.5,9,0,0,1,0,0,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Teretistris fernandinae,Parulidae,,aka family: Emberizidae,12.5,8,2,0,0,0,0,0,2,6,2,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo latimeri,Vireonidae,,,12.5,8,0,0,2,0,0,0,0,4,3,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Microligea palustris,Fringillidae,GREEN-TAILED GROUND WARBLER,,13,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,jetz,Dunning
Mionectes oleaginea,Tyrannidae,,,13,3,0,0,6,0,1,0,1,3,3,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo gundlachii,Vireonidae,,,13.15,4,3,0,3,0,0,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dysithamnus mentalis,Formicariidae,,,13.5,9,0,0,1,0,0,0,4,3,2,1,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Sittasomus griseicapillus,Dendrocolaptidae,,,13.5,9,0,0,0,0,1,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Lonchura punctulata,Estrildidae,,,13.6,1,0,0,1,0,7,1,5,0,2,2,0,1,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo crassirostris,Vireonidae,,,13.6,8,0,0,2,0,0,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Melopyrrha nigra,Emberizidae,,,13.7,4,0,0,3,0,3,0,0,5,0,5,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Myiarchus barbirostris,Tyrannidae,,,13.85,10,0,0,0,0,0,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Elaenia fallax,Tyrannidae,,,14,5,0,0,5,0,0,0,1,3,3,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",Dunning
Euphonia musica,Emberizidae,,,14.2,0,0,0,6,0,2,2,0,0,0,10,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Cyanerpes cyaneus,Thraupidae,,,14.65,3,0,0,4,1,2,0,0,2,4,4,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Cyanerpes cyaneus,Emberizidae,,,14.65,4,0,0,4,1,1,0,0,2,4,4,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Xenoligea montana,Parulidae,,aka family: Emberizidae,14.7,6,0,0,0,0,4,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",Av of 10 warbler species of similar size f/ genus Acrocephalus and Sylvia
Euphonia violacea,Thraupidae,,,14.75,0,0,0,8,1,1,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo magister,Vireonidae,YUCATAN VIREO,,15,4,0,0,6,0,0,0,0,2,3,5,0,0,0,0,jetz,Dunning
Sicalis flaveola,Emberizidae,,,15.4,5,0,0,0,0,5,0,10,0,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Euplectes afer,Ploceidae,,,15.5,2,0,0,0,0,8,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vidua macroura,Estrildidae,,,15.5,1,0,0,0,0,8,1,9,0,0,0,0,1,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo chivi,,Red-eyed vireo,Vireo olivaceus,15.5,6,0,0,2,0,2,0,0,0,2,8,0,0,0,0,Jetz,
Pterochelidon fulva,Hirundinidae,,,16,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Thryothorus rutilus,Troglodytidae,,,16,8,0,0,0,0,2,0,0,8,0,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Euneornis campestris,Emberizidae,,,16.2,2,0,0,3,3,2,0,0,5,5,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Geothlypis rostrata,Fringillidae,BAHAMA YELLOWTHROAT,,16.2,5,1,0,4,0,0,0,0,10,0,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Sicalis luteola,Emberizidae,,,16.25,0,0,0,0,0,10,0,9,1,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Euphonia jamaica,Emberizidae,,,17,0,0,0,10,0,0,0,0,0,5,5,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Euplectes franciscanus,Ploceidae,,,17,3,0,0,0,0,7,0,8,0,0,0,0,0,2,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Tachycineta cyaneoviridis,Hirundinidae,,,17.9,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chaetura brachyura,Apodidae,,,18,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Ferminia cerverai,Troglodytidae,Zapata wren,,18.15,2,6,0,0,0,1,1,4,6,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.",av of 10 wren species of similar size f/ genus Malurus and Thryothorus
Loxigilla noctis,Emberizidae,,,18.25,2,0,0,3,3,2,0,0,1,1,8,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chaetura cinereiventris,Apodidae,,,19,10,0,0,0,0,0,0,0,0,8,2,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Chiroxiphia pareola,Tyrannidae,BLUE-BACKED MANAKIN,,19,5,0,0,5,0,0,0,0,5,5,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Myiarchus sagrae,Tyrannidae,,,19,4,0,0,3,0,3,0,0,10,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Petrochelidon fulva,,cave swallow,,19,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Boyer,
Synallaxis cinnamomea,Furnariidae,,,19,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Pachyramphus polychopterus,Tyrannidae,,,20.25,5,0,0,5,0,0,0,0,3,7,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Vireo osburni,Vireonidae,BLUE MOUNTAINS VIREO,,20.6,5,0,0,5,0,0,0,5,5,0,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
